Object,Count,CD21,CD31,Lyve1,CD35,SMA,Lumican,Laminin,Vimentin
1,27326,0.537985801,9.03084974,158.8091195,47.29989753,4.630388641,54.35892557,30.3670131,18.34253092
2,52011,0.518851781,25.1728865,2.281286651,29.74659207,11.59629694,33.04887428,85.11547557,149.3065698
3,105068,0.047426429,2.216583546,0.77611642,0.64747592,136.010793,67.12732706,56.66925229,29.02742985
4,272678,70.27959718,1.29782014,0.397351455,130.0771093,0.091070787,38.09285678,17.01870705,11.05053946
5,5695275,4.194895242,1.48047197,0.736521941,17.44604167,1.546050717,22.19694694,9.991800045,9.491972907
6,449542,2.203302472,5.610098723,2.254456758,10.02870477,17.95808178,104.3699565,56.46254188,16.08788055
7,33620,0.082748364,153.0790601,2.204164188,16.3092207,9.158447353,34.60452112,80.09678763,41.81692445
