X,Y,Z,Object,SPARC,DAPI,CD20,CD3,Bcl6,CD138,CD163,CD11c,HLA-DR,CD4,CD25,FoxP3,CD8,CD68,DC-SIGN,Va7.2,CD45
1.880760417,199.1402083,0,4,2.020081475,127.0989608,14.8288851,47.24925595,11.98045283,0,0,1.680153763,19.30842055,4.536311828,0,10.09395962,1.660666282,0.153093109,4.419417382,0,32.65168927
2.318103896,219.4244242,0,17,65.1668189,35.38052268,0.518071683,4.166450211,10.90811684,0,30.96430007,7.123523619,4.945810243,6.818297257,2.051290376,8.861732507,7.788742014,1.142451227,11.00963765,0.790911579,10.1778556
0.933142857,228.4577143,0,5,6.062505114,31.90673413,71.0228557,22.14562195,13.55412431,0,32.06726561,24.20497784,81.43636137,31.2935411,10.81885479,11.89971322,4.088310863,1.035098339,20.79472613,0,28.41528764
0.224210526,234.5541053,0,5,0,111.8765767,85.87199776,15.35029573,7.152474728,0,0,1.521771821,86.17912801,11.25073097,0,11.37402396,3.776659621,0,0,0,80.67217612
1.108019705,240.2052414,0,7,0.784706026,116.8627885,28.0932648,7.27198552,8.316403163,0,0.397033334,4.699858503,33.6901266,9.884056924,1.094095213,10.01132364,0.859602383,0,15.8113883,1.687391668,29.16320646
1.282281407,249.9549648,0,8,1.277953766,59.68929182,0.501254707,59.52359019,4.21053954,0,0,7.012193257,2.353229365,24.99241091,0,5.189862558,11.75557176,0.212664362,48.34309957,0,23.1343574
0.825525424,262.153661,0,12,5.178181082,48.51428236,0.260377822,119.1359429,2.816416764,0,0.736459694,9.051640922,7.730634635,82.39759952,1.852620682,4.611150818,2.254938084,0,9.829478321,0,54.46745257
3.171195336,274.8355491,0,15,7.1571286,117.7858906,6.373841098,12.79026446,9.443402065,0,36.19768099,18.80096249,44.33366945,22.19681816,16.65744157,9.310380635,1.435696517,4.118742862,36.57865575,2.185071712,25.52599239
1.047817352,285.9465022,0,2,0,137.8277331,4.510768445,111.1258491,2.466210003,0,0,4.90456874,20.64485519,63.69512142,0,9.324930986,2.096964538,0,6.26653065,0,43.96241649
4.669218182,298.1414787,0,15,0.583874208,127.1633345,1.887759615,116.4294818,3.908033684,0,0,4.918117403,13.97985564,32.11817667,0,7.884391946,30.03288602,0.261116484,3.753785968,0.9358192,31.63774596
1.090321678,302.0449232,0,10,0.418121005,60.24019521,0.57936546,53.61876563,3.173315312,0,0,1.017332313,34.31772565,15.39276008,0,5.770069869,0.93494699,0.354787438,0,0,24.61664114
2.578767932,305.9195275,0,2,0,160.1586502,1.828051463,87.72146175,1.653534764,0,0,3.337550075,42.34054226,37.01345405,0,13.01783911,0.795557284,0,0,0,44.01471752
4.478648715,321.9040929,0,8,2.703413681,71.96820323,0.621917121,4.643206169,12.35283009,0,20.77450773,16.87733845,6.470060982,25.52297547,6.663167176,14.28075714,2.427151596,5.541431795,8.8715159,5.352792428,16.46861932
3.725023256,331.2513256,0,4,0.539163866,119.7558684,15.53203741,51.45747849,5.84986583,0,0,8.01814802,4.942988927,47.19947773,0.485247479,7.948599409,0.66033818,0,0,0,75.90902603
3.796194806,343.3134,0,15,0.382235394,150.5155534,6.234383086,71.22686911,4.486342912,0,0,14.972182,12.68719571,21.83426355,0.826901587,9.127737092,29.7857283,0,0,0.750324605,37.25988059
6.498096887,360.8264222,0,17,6.243058429,48.64953049,0.944845788,0.999134574,9.626951786,0,24.93160194,1.20552362,36.30000429,4.730816297,1.497402595,10.34592008,2.618803446,6.791124882,6.211385906,1.414213562,2.593243817
0.466571429,363.9764286,0,13,4.101393491,33.14416561,0.267261242,0.188982237,16.68403857,0,0,0.46291005,1.426784597,0.896421457,0,6.239276515,2.741871103,0,0,0,0
1.759905512,368.580567,0,7,2.742922173,132.3649215,27.76114375,1.807682642,8.568390913,2.347724648,0,1.592304327,63.12557788,3.137279026,4.596729409,12.94947784,2.399967191,0,0.887356509,1.508506066,24.02950942
6.312177937,375.9702669,0,15,6.209566721,112.9453187,17.54731783,112.4918344,5.611059237,0,0,54.11659516,7.899896391,66.34398926,50.43391786,19.64316911,7.222259482,0.824987868,5.275758703,0,53.18690605
0.817814815,379.8894445,0,10,0.680413817,84.4792874,55.36929889,112.9926251,8.406346809,0,0,97.10995105,43.78049202,32.42926776,92.77945774,8.360511237,69.63270039,0,0,0,75.08476691
0.55025,385.645375,0,10,3.041381265,9.658221886,68.46874287,3.682729966,20.15254326,0,0,127.8658965,62.45198155,18.69909757,159.0333102,9.815485215,1.25,1.984313483,1.767766953,0,59.95414915
1.514666667,396.6713652,0,12,1.303231637,67.90687679,4.90329767,110.7600486,3.491486244,0,0,4.044723521,29.14595637,63.46427567,0,3.605551275,32.03932769,0,0,0,56.26679643
0.646698795,402.4382652,0,16,14.37744217,57.46596688,13.00046338,104.4420056,1.97575668,0,0,29.774858,22.17373894,18.82705052,6.247891211,5.14137481,67.06434601,1.836707374,0,0,39.99638538
2.393878543,406.4476923,0,10,16.19379098,68.85162713,22.29912582,27.16697507,12.07868937,0,0,56.73476895,10.41040433,34.07475706,37.13745122,10.66702513,5.45723158,67.98294023,0,0,41.76490982
4.388834436,413.9850134,0,4,0.906196476,141.951757,52.83572881,39.51070774,13.5027591,0,0,21.64669652,28.28269075,23.7611598,15.13394938,13.70255209,1.821959501,1.277025725,0.813788459,0.69172019,47.13563633
1.997861111,419.735236,0,9,0.589255651,137.3990412,35.44694784,97.99808672,28.40743985,0,0,6.786424357,17.98871174,48.37964735,3.1374751,11.06812867,0.779511956,0,0,0,54.42674741
0.560111111,424.4853334,0,5,1.178511302,35.87284643,76.53249128,10.52378259,10.19803903,0,0,6.691619967,12.02312586,6.859705209,23.59142971,8.548879069,0,0.866025404,0,0,25.45857201
